Product Name,Category,Amazon URL,My Amazon Affiliate Link,Price Range,Key Features,SEO Keywords,Competitors,Photo Ideas,Best Fit For (Audience),Status,Date Added,Last Updated,Notes
"Personalized Bridesmaid Robe - Satin with Lace Trim",Bridesmaid Proposal Gifts,https://amazon.com/example-product-url,https://www.amazon.com/dp/EXAMPLE?tag=shelzysdesigns-20,$25-$35,"Satin material with lace trim|Custom embroidery available|Gift-ready packaging|Multiple colors|Machine washable","best bridesmaid gifts, personalized bridesmaid robe, bridal party gifts, bridesmaid proposal ideas, custom robes for wedding","Similar Robe Brand A|Higher-end Silk Option B|Budget Option C","Flat lay with flowers and champagne|Bride with bridesmaids morning photo|Close-up of embroidery|Gift box unboxing","The luxury bride planning a Pinterest-worthy wedding day",Not Featured,2024-01-15,,
"Custom Bridesmaid Tumbler Set",Bridesmaid Proposal Gifts,,,,$20-$30,"Stainless steel insulated|Personalized names|Comes in gift box|Keeps drinks cold 24hrs|Multiple color options","bridesmaid tumbler, personalized wedding cups, bridal party tumblers, custom wedding gifts","","Bridesmaids toasting with tumblers|Gift box reveal|Close-up of name engraving","Bridesmaids who love practical gifts",Not Featured,,,
"Bridesmaid Proposal Box - Complete Set",Bridesmaid Proposal Gifts,,,,$35-$50,"Includes robe, tumbler, and accessories|Premium gift box|Custom 'Will You Be My Bridesmaid' card|Ribbon closure|Multiple style options","bridesmaid proposal box, will you be my bridesmaid gift, bridesmaid gift set, proposal gift box","","Elegant unboxing video|Flat lay of all contents|Reaction photo setup","Brides who want an all-in-one proposal solution",Not Featured,,,
"Silk Bridal Robe - Getting Ready",Wedding Day Essentials,,,,$45-$65,"100% silk|Elegant lace details|Photography-ready|Available in white and champagne|Comfortable fit","bridal robe, wedding day robe, silk getting ready robe, bride robe for photos","","Bride in natural light window shot|Back detail with 'Bride' text|With champagne and flowers","Brides who want luxury getting ready photos",Not Featured,,,
"Emergency Wedding Day Kit",Wedding Day Essentials,,,,$25-$40,"50+ essential items|Compact travel case|Stain remover, sewing kit, pain relief|Clear organization|TSA-friendly size","wedding emergency kit, bride survival kit, wedding day essentials, bridal emergency bag","","Open kit showing contents|Bride's getting ready table setup|Compact size demonstration","Type-A brides and wedding planners",Not Featured,,,
"Personalized Champagne Flutes Set",Wedding Day Essentials,,,,$30-$45,"Crystal glass|Custom engraving|Set of 2|Gift box included|Hand wash recommended","personalized champagne glasses, wedding toasting flutes, custom champagne glasses, bride groom glasses","","Toast moment shot|Close-up of engraving|Gift box presentation","Couples wanting keepsake toasting glasses",Not Featured,,,
"Custom Name Necklace - Gold Filled",Personalized Gifts,,,,$35-$55,"14K gold filled|Custom name script|Adjustable chain length|Hypoallergenic|Gift box included","personalized name necklace, custom gold necklace, bridesmaid jewelry gift, name jewelry","","Worn on model|Close-up of name detail|In gift box|Layered with other necklaces","Bridesmaids, birthday gifts, graduation gifts",Not Featured,,,
"Monogrammed Makeup Bag Set",Personalized Gifts,,,,$18-$28,"Vegan leather|Custom initials|Set of 2 sizes|Waterproof lining|Multiple colors","personalized makeup bag, monogram cosmetic bag, bridesmaid makeup bag, custom travel pouch","","Flat lay with makeup products|Travel setup|Close-up of monogram","Bridesmaids, travel lovers, organization fans",Not Featured,,,
"Palm Beach Rattan Mirror",Palm Beach Aesthetic Home Decor,,,,$45-$75,"Natural rattan frame|Bohemian coastal style|Wall mount hardware included|Handcrafted|Various sizes","rattan mirror, coastal mirror, boho wall mirror, palm beach decor, woven mirror","","Styled in bathroom|Living room vignette|Entryway styling","Coastal decor lovers, Palm Beach aesthetic fans",Not Featured,,,
"Tropical Leaf Print Set - Set of 3",Palm Beach Aesthetic Home Decor,,,,$25-$40,"High-quality prints|Gallery wall ready|Multiple size options|Unframed|Botanical design","palm leaf prints, tropical wall art, coastal art prints, palm beach wall decor","","Gallery wall arrangement|Single frame styled|Bedroom accent wall","Home decorators seeking tropical vibes",Not Featured,,,
"Preppy Stainless Steel Water Bottle",Preppy Water Bottles & Accessories,,,,$28-$38,"Triple insulated|24hr cold, 12hr hot|BPA-free|Preppy patterns|Leak-proof lid","preppy water bottle, aesthetic water bottle, cute insulated bottle, sorority water bottle","","Gym bag flat lay|Beach day setup|Desk styling|Pattern close-up","College students, sorority members, preppy style lovers",Not Featured,,,
