Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
signature-personalized-bottle,Personalized 20oz Sublimation Water Bottle – Signature Collection,"<p>A premium 20oz insulated water bottle customized just for you with permanent sublimation printing. No vinyl. No peeling. Just a smooth, long-lasting finish that looks as good as it feels.</p>

<h3>✨ KEY FEATURES</h3>
<ul>
<li>20oz double-wall insulated stainless steel bottle</li>
<li>Keeps drinks cold for up to 24 hours and hot for up to 12 hours</li>
<li>Personalized with your name using permanent sublimation (no vinyl)</li>
<li>BPA-free and durable for everyday use</li>
<li>Smooth, scratch-resistant finish</li>
<li>Beautifully packaged and ready to gift</li>
</ul>

<h3>🎨 CUSTOMIZATION OPTIONS</h3>
<p>Choose from four elegant bottle colors: White, Sage Green, Blush Pink, Matte Black</p>
<p>Select your personalization style: Script Name, Block Name, Vertical Name, or Name + Icon (heart, star, daisy, palm tree, coffee cup, sun)</p>

<h3>💝 PERFECT FOR</h3>
<p>Bridesmaid proposals • Wedding day gifts • Birthdays • Holidays • Teacher gifts • Everyday hydration • Treating yourself</p>

<h3>📦 CUSTOMIZATION INSTRUCTIONS</h3>
<p>Enter the name exactly as you'd like it printed (including capitalization). Choose your font style and text color. We'll create your bottle with a professionally centered, balanced design.</p>

<h3>🚚 SHIPPING & PROCESSING</h3>
<p>Each bottle is made to order with care.</p>
<ul>
<li>Processing time: 3–5 business days</li>
<li>Shipping time: Typically 3–7 business days (depending on location)</li>
<li>Rush orders available—please contact us before ordering</li>
</ul>

<h3>🎁 GIFT-READY PACKAGING</h3>
<p>Every bottle arrives beautifully packaged and ready to gift or enjoy yourself.</p>",Shelzy's Designs,Home & Garden > Kitchen & Dining > Drinkware,Water Bottles,"sublimation, personalized water bottle, no vinyl, custom bottle, permanent personalization, insulated bottle, 20oz bottle, bridesmaid gift",TRUE,Color,White,,,SIG-BOTTLE-WHITE,454,shopify,100,deny,manual,32.00,,TRUE,TRUE,,[PLACEHOLDER: signature-bottle-white-01.jpg],1,Personalized white water bottle with elegant script name,FALSE,Personalized Sublimation Water Bottle | Shelzy's Designs,"Premium 20oz sublimation water bottle with permanent personalization. No vinyl, no peeling. Perfect for bridesmaids, gifts, and everyday use.",Home & Garden > Kitchen & Dining > Drinkware,,,,,,,new,FALSE,,,,,,lb,,,active
signature-personalized-bottle,Personalized 20oz Sublimation Water Bottle – Signature Collection,,,,,,,Color,Sage Green,,,SIG-BOTTLE-SAGE,454,shopify,100,deny,manual,32.00,,TRUE,TRUE,,[PLACEHOLDER: signature-bottle-sage-01.jpg],2,Personalized sage green water bottle,FALSE,,,,,,,,,,,,,,,,,lb,,,active
signature-personalized-bottle,Personalized 20oz Sublimation Water Bottle – Signature Collection,,,,,,,Color,Blush Pink,,,SIG-BOTTLE-BLUSH,454,shopify,100,deny,manual,32.00,,TRUE,TRUE,,[PLACEHOLDER: signature-bottle-blush-01.jpg],3,Personalized blush pink water bottle,FALSE,,,,,,,,,,,,,,,,,lb,,,active
signature-personalized-bottle,Personalized 20oz Sublimation Water Bottle – Signature Collection,,,,,,,Color,Matte Black,,,SIG-BOTTLE-BLACK,454,shopify,100,deny,manual,32.00,,TRUE,TRUE,,[PLACEHOLDER: signature-bottle-black-01.jpg],4,Personalized matte black water bottle,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bridesmaid-proposal-bottle,Bridesmaid Proposal Sublimation Bottle – Will You Be My Bridesmaid Gift,"<p>Ask your best friend to stand by your side with a personalized sublimation bottle she'll actually use long after the wedding. No vinyl. No peeling. Just a beautiful, permanent gift.</p>

<h3>✨ KEY FEATURES</h3>
<ul>
<li>20oz double-wall insulated stainless steel bottle</li>
<li>Keeps drinks cold for 24+ hours, hot for 12+ hours</li>
<li>Personalized with her name + ""Bridesmaid"" or ""Maid of Honor"" using sublimation</li>
<li>BPA-free, durable, and scratch-resistant</li>
<li>Smooth, permanent finish</li>
<li>Beautifully packaged and gift-ready</li>
</ul>

<h3>🎨 CUSTOMIZATION OPTIONS</h3>
<p>Bottle Colors: White (most popular for bridal), Sage Green, Blush Pink, Matte Black</p>
<p>Personalization: Her name in elegant script + Choice of title: ""Bridesmaid"" or ""Maid of Honor""</p>

<h3>💝 PERFECT FOR</h3>
<p>Bridesmaid proposals • Maid of Honor asks • Bridal party gifts • ""Thank you for being my bridesmaid"" gifts</p>

<h3>📦 CUSTOMIZATION INSTRUCTIONS</h3>
<p>Enter her name exactly as you'd like it to appear. Select her title (Bridesmaid or Maid of Honor). We'll design a beautifully balanced layout and create her personalized bottle.</p>

<h3>🚚 SHIPPING & PROCESSING</h3>
<ul>
<li>Processing time: 3–5 business days</li>
<li>Shipping time: 3–7 business days</li>
<li>Rush orders available—contact us first</li>
</ul>

<h3>🎁 ARRIVES GIFT-READY</h3>
<p>Beautifully packaged with care. Add a gift note at checkout for an extra-special touch.</p>",Shelzy's Designs,Home & Garden > Kitchen & Dining > Drinkware,Water Bottles,"sublimation, bridesmaid gift, bridal party, personalized bottle, wedding gift, maid of honor, no vinyl",TRUE,Color,White,Title,Bridesmaid,BM-BOTTLE-WHITE-BM,454,shopify,100,deny,manual,34.00,,TRUE,TRUE,,[PLACEHOLDER: bridesmaid-bottle-01.jpg],1,Bridesmaid proposal water bottle white,FALSE,Bridesmaid Proposal Bottle | Shelzy's Designs,"Personalized sublimation bottle for bridesmaid proposals. Permanent printing, no vinyl. She'll love this gift long after the wedding.",,,,,,,,,,,,,,,lb,,,active
bridesmaid-proposal-bottle,Bridesmaid Proposal Sublimation Bottle – Will You Be My Bridesmaid Gift,,,,,,,Color,White,Title,Maid of Honor,BM-BOTTLE-WHITE-MOH,454,shopify,100,deny,manual,34.00,,TRUE,TRUE,,[PLACEHOLDER: bridesmaid-bottle-02.jpg],2,Maid of Honor proposal bottle,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bridesmaid-proposal-bottle,Bridesmaid Proposal Sublimation Bottle – Will You Be My Bridesmaid Gift,,,,,,,Color,Sage Green,Title,Bridesmaid,BM-BOTTLE-SAGE-BM,454,shopify,100,deny,manual,34.00,,TRUE,TRUE,,[PLACEHOLDER: bridesmaid-bottle-sage-01.jpg],3,Sage green bridesmaid bottle,FALSE,,,,,,,,,,,,,,,,,lb,,,active
bridesmaid-proposal-bottle,Bridesmaid Proposal Sublimation Bottle – Will You Be My Bridesmaid Gift,,,,,,,Color,Sage Green,Title,Maid of Honor,BM-BOTTLE-SAGE-MOH,454,shopify,100,deny,manual,34.00,,TRUE,TRUE,,[PLACEHOLDER: bridesmaid-bottle-sage-02.jpg],4,Sage green maid of honor bottle,FALSE,,,,,,,,,,,,,,,,,lb,,,active
proposal-gift-box,Bridesmaid Proposal Gift Box – Personalized Water Bottle Set,"<p>The ultimate bridesmaid proposal box. Personalized sublimation bottle, ""Will you be my bridesmaid?"" card, satin scrunchie, mini candle, and beautiful white gift box. A luxury unboxing moment she'll never forget.</p>

<h3>✨ WHAT'S INCLUDED</h3>
<ul>
<li>Personalized 20oz sublimation water bottle (her name + title, permanent—no vinyl)</li>
<li>""Will you be my bridesmaid?"" card on premium cardstock</li>
<li>Satin scrunchie (color-coordinated)</li>
<li>Mini soy candle</li>
<li>White magnetic closure gift box with crinkle paper</li>
</ul>

<h3>🎨 CUSTOMIZATION OPTIONS</h3>
<p>Bottle Colors: White (most popular), Sage Green, Blush Pink, Matte Black</p>
<p>Title Options: Bridesmaid, Maid of Honor, Matron of Honor, Flower Girl</p>

<h3>💝 WHY THIS GIFT BOX?</h3>
<p>This isn't just another bridesmaid proposal—this is a thoughtful, curated experience. The unboxing moment is special, and the bottle becomes a keepsake she'll actually use.</p>

<h3>📦 CUSTOMIZATION INSTRUCTIONS</h3>
<p>Enter each bridesmaid's name exactly as you'd like it to appear. Select her title (Bridesmaid, Maid of Honor, etc.). We'll design, sublimate, and beautifully package each gift box.</p>

<h3>🚚 SHIPPING & PROCESSING</h3>
<p>Each gift box is assembled with care and arrives ready to gift.</p>
<ul>
<li>Processing time: 3–5 business days</li>
<li>Shipping time: 3–7 business days</li>
<li>Ordering multiples? Add all to cart—we'll coordinate.</li>
</ul>

<h3>🎁 ARRIVES 100% GIFT-READY</h3>
<p>No wrapping needed. Just hand it to her and watch her face light up.</p>",Shelzy's Designs,Home & Garden > Kitchen & Dining > Drinkware,Gift Sets,"bridesmaid proposal, gift box, personalized gift, bridal party, wedding gift, proposal box, bridesmaid box",TRUE,Color,White,Title,Bridesmaid,GIFT-BOX-WHITE-BM,680,shopify,50,deny,manual,62.00,,TRUE,TRUE,,[PLACEHOLDER: proposal-box-03.jpg],1,Bridesmaid proposal gift box with personalized bottle,FALSE,Bridesmaid Proposal Gift Box | Shelzy's Designs,"Luxury bridesmaid proposal box with personalized sublimation bottle, card, scrunchie, candle, and gift box. The perfect way to ask.",,,,,,,,,,,,,,,lb,,,active
proposal-gift-box,Bridesmaid Proposal Gift Box – Personalized Water Bottle Set,,,,,,,Color,White,Title,Maid of Honor,GIFT-BOX-WHITE-MOH,680,shopify,50,deny,manual,62.00,,TRUE,TRUE,,[PLACEHOLDER: proposal-box-04.jpg],2,Maid of Honor proposal gift box,FALSE,,,,,,,,,,,,,,,,,lb,,,active
